null,resp_time,critical,dependable,enthusiastic,anxious,calm,conventional,disorganized,experiences,reserved,sympathetic
4.0,2013-03-28 06:02:06,,,,,,,,,,
5.0,2013-03-31 17:31:06,,,,,,,,,,
5.0,2013-04-01 02:05:18,,,,,,,,,,
2.0,2013-04-01 23:13:07,,,,,,,,,,
,2013-04-11 06:58:15,4.0,4.0,1.0,,,,,,,
,2013-04-16 20:48:28,3.0,4.0,3.0,2.0,null,null,null,3.0,3.0,3.0
,2013-04-12 17:48:51,2.0,5.0,3.0,3.0,3,3,4,2.0,3.0,2.0
,2013-04-13 22:23:38,1.0,5.0,3.0,3.0,3,3,3,2.0,3.0,3.0
,2013-04-14 06:02:41,3.0,4.0,4.0,3.0,3,3,4,3.0,5.0,2.0
